,Race Placement,Bib Number,Participant Name,Chip Time,Pace,Gender,Age,City,State / Province,Fire Tower Rank,Fire Tower Time,Fire Tower Pace,Hwy OO Rank,Hwy OO Time,Hwy OO Pace,Boedecker Rank,Boedecker Time,Boedecker Pace,Timber Tr Rank,Timber Tr Time,Timber Tr Pace,TT to Fin Rank,TT to Fin Time,TT to Fin Pace,Age Group Place,Age Group Description
28,29,11496,Bri Paulsen,3:58:40.3,5:18,F,25,Minneapolis,MN,30,54:23,4:32,29,1:36:56,4:37,31,2:08:06,4:50,30,3:20:48,5:13,29,3:58:40,5:18,,
29,30,13520,Ryan Hunwardsen,3:59:22.1,5:19,M,22,Eden Prairie,MN,24,53:38,4:28,30,1:36:59,4:37,28,2:06:54,4:47,29,3:18:59,5:10,30,3:59:22,5:19,,
30,31,16357,Kelsey Sather,4:02:56.2,5:24,F,24,Plymouth,MN,93,1:03:05,5:16,74,1:48:21,5:09,49,2:18:07,5:13,36,3:26:17,5:21,31,4:02:56,5:24,,
31,32,11007,Jed Downs,4:03:16.9,5:24,M,63,Cross Plains,WI,26,54:07,4:31,31,1:37:22,4:38,41,2:12:59,5:01,34,3:25:13,5:20,32,4:03:17,5:24,,
32,33,13555,David Olheiser,4:03:53.4,5:25,M,47,Minneapolis,MN,58,59:35,4:58,78,1:48:46,5:11,55,2:18:51,5:14,44,3:28:19,5:24,33,4:03:53,5:25,,
33,34,11117,Michael Gotzsche,4:04:29.6,5:26,M,66,Minneapolis,MN,37,56:36,4:43,35,1:39:16,4:43,33,2:10:36,4:56,32,3:22:50,5:16,34,4:04:30,5:26,,
34,35,11366,Megan Bettendorf,4:05:23.8,5:27,F,19,Roseville,MN,33,55:08,4:36,32,1:37:32,4:38,32,2:08:07,4:50,33,3:24:15,5:18,35,4:05:24,5:27,,
35,36,13517,Austin Gould,4:05:40.0,5:27,M,24,Minneapolis,MN,35,56:22,4:42,37,1:40:28,4:47,34,2:10:51,4:56,35,3:25:41,5:21,36,4:05:40,5:27,,
36,37,11310,Dave Putnam,4:06:58.6,5:29,M,47,Rice Lake,WI,44,57:40,4:48,40,1:41:15,4:50,37,2:12:10,5:00,42,3:27:35,5:24,37,4:06:59,5:29,,
37,38,12413,Madeline McDermott,4:07:23.0,5:30,F,21,St. Peter,MN,83,1:01:55,5:09,63,1:46:06,5:03,54,2:18:42,5:14,46,3:28:57,5:26,38,4:07:23,5:30,,
38,39,11482,Thomas McDermott,4:07:31.0,5:30,M,18,St. Peter,MN,34,56:19,4:41,33,1:37:58,4:40,30,2:07:09,4:48,38,3:26:48,5:22,39,4:07:31,5:30,,
39,40,12001,Audun Mikkelson,4:07:42.0,5:31,M,62,Hayward,WI,39,56:50,4:44,38,1:40:40,4:48,36,2:11:57,4:59,31,3:21:30,5:14,40,4:07:42,5:31,,
40,41,12528,Levi Smith,4:07:52.8,5:31,M,19,Rhinelander,WI,38,56:38,4:43,36,1:40:03,4:46,35,2:11:05,4:57,37,3:26:26,5:22,41,4:07:53,5:31,,
41,42,11488,Jon Faust,4:08:27.7,5:31,M,55,Plymouth,MN,36,56:33,4:43,34,1:38:54,4:43,40,2:12:47,5:01,43,3:27:56,5:24,42,4:08:28,5:31,,
42,43,13582,Eliana Malnourie,4:08:42.2,5:32,F,18,Hayward,WI,40,57:04,4:45,47,1:43:05,4:55,57,2:19:08,5:15,50,3:30:36,5:28,43,4:08:42,5:32,,
43,44,12377,William Moseley,4:08:49.1,5:32,M,55,Saint Paul,MN,49,58:12,4:51,49,1:43:36,4:56,46,2:16:02,5:08,47,3:29:01,5:26,44,4:08:49,5:32,,
44,45,12133,Tom Raetz,4:08:59.5,5:32,M,62,Owatonna,MN,59,59:36,4:58,56,1:44:46,5:00,51,2:18:16,5:13,41,3:27:32,5:24,45,4:09:00,5:32,,
45,46,11445,Connor Klausing,4:09:03.8,5:32,M,29,Minneapolis,MN,63,1:00:05,5:00,48,1:43:13,4:55,44,2:15:27,5:07,39,3:26:51,5:22,46,4:09:04,5:32,,
46,47,11316,Jacob Kjome,4:09:32.3,5:32,M,48,Maple Grove,MN,41,57:08,4:46,42,1:41:49,4:51,43,2:14:50,5:05,40,3:27:13,5:23,47,4:09:32,5:32,,
47,48,13549,Mark Prescher,4:09:36.7,5:33,M,24,Crystal,MN,53,58:50,4:54,59,1:45:43,5:02,48,2:17:35,5:11,45,3:28:20,5:25,48,4:09:37,5:33,,
48,49,13522,Jennifer Rolfes,4:10:03.5,5:34,F,28,Minneapolis,MN,61,1:00:01,5:00,75,1:48:24,5:09,66,2:20:26,5:18,53,3:32:41,5:31,49,4:10:04,5:34,,
49,50,12463,Joe Kozikowski,4:11:58.5,5:36,M,38,Kimberly,WI,62,1:00:02,5:00,57,1:44:56,5:00,47,2:16:39,5:09,48,3:29:14,5:26,50,4:11:59,5:36,,
50,51,11108,Robert Nadler,4:12:21.9,5:37,M,57,Chicago,IL,45,57:47,4:49,41,1:41:32,4:50,39,2:12:29,5:00,49,3:29:49,5:27,51,4:12:22,5:37,,
51,52,11131,Joseph Ostazeski,4:12:31.8,5:37,M,53,Duluth,MN,51,58:25,4:52,43,1:41:56,4:51,52,2:18:23,5:13,51,3:31:00,5:29,52,4:12:32,5:37,,
52,53,16329,Max Olson,4:12:43.2,5:37,M,25,Kalamazoo,MI,118,1:07:09,5:36,88,1:53:46,5:25,80,2:23:20,5:24,57,3:33:46,5:33,53,4:12:43,5:37,,
53,54,13538,Aimee Pearce,4:12:54.0,5:37,F,54,Bloomington,MN,86,1:02:02,5:10,79,1:49:10,5:12,67,2:20:49,5:19,55,3:32:56,5:32,54,4:12:54,5:37,,
54,55,12530,Michael Saline,4:13:08.2,5:37,M,39,Duluth,MN,52,58:45,4:54,53,1:44:02,4:57,45,2:15:40,5:07,52,3:32:10,5:31,55,4:13:08,5:37,,
55,56,12472,Carli Godard,4:13:08.2,5:37,F,33,Ely,MN,66,1:00:30,5:03,65,1:46:26,5:04,60,2:19:18,5:16,54,3:32:46,5:32,56,4:13:08,5:37,,
56,57,12412,Joshua Paulsen,4:13:50.5,5:39,M,42,Minnetonka,MN,85,1:02:00,5:10,76,1:48:40,5:11,71,2:21:35,5:21,62,3:34:55,5:35,57,4:13:51,5:39,,
57,58,12119,Greg Olson,4:14:10.8,5:39,M,51,Lakeland,MN,57,59:34,4:58,58,1:45:07,5:00,50,2:18:14,5:13,56,3:33:34,5:33,58,4:14:11,5:39,,
58,59,13365,Elizabeth Whitcomb,4:14:59.2,5:40,F,22,Mendota Heights,MN,79,1:01:17,5:06,80,1:49:36,5:13,72,2:21:42,5:21,64,3:35:09,5:36,59,4:14:59,5:40,,
59,60,11116,Michael Gjere,4:15:35.5,5:41,M,58,Lanesboro,MN,43,57:32,4:48,44,1:41:57,4:51,42,2:14:12,5:04,60,3:34:47,5:35,60,4:15:36,5:41,,
60,61,12431,Olivia Rengo,4:15:41.2,5:41,F,23,Ely,MN,75,1:01:07,5:06,83,1:50:45,5:16,79,2:23:17,5:24,68,3:37:17,5:39,61,4:15:41,5:41,,
61,62,12344,Emily Broderson,4:16:28.6,5:42,F,43,Maple Grove,MN,71,1:00:54,5:04,64,1:46:25,5:04,59,2:19:18,5:16,58,3:33:50,5:33,62,4:16:29,5:42,,
62,63,12421,Andy Ubel,4:16:29.4,5:42,M,62,Saint Paul,MN,56,59:27,4:57,50,1:43:39,4:56,68,2:21:03,5:19,61,3:34:48,5:35,63,4:16:29,5:42,,
63,64,13479,Adam Benson,4:16:40.8,5:42,M,50,Minneapolis,MN,48,58:02,4:50,68,1:46:44,5:05,61,2:19:39,5:16,63,3:35:06,5:35,64,4:16:41,5:42,,
64,65,12436,Kelly Rogers,4:17:51.7,5:44,F,61,Esko,MN,74,1:01:05,5:05,70,1:47:08,5:06,62,2:19:43,5:16,65,3:35:12,5:36,65,4:17:52,5:44,,
65,66,11423,Riley Schollett,4:19:43.5,5:46,M,19,Ely,MN,42,57:31,4:48,39,1:40:54,4:48,38,2:12:18,5:00,59,3:34:35,5:34,66,4:19:44,5:46,,
66,67,11318,Jon Oestreich,4:20:06.2,5:47,M,47,Wausau,WI,55,59:20,4:56,52,1:43:53,4:57,69,2:21:06,5:19,70,3:38:29,5:41,67,4:20:06,5:47,,
67,68,12512,Jere Mohr,4:20:42.2,5:47,M,43,Duluth,MN,68,1:00:44,5:04,71,1:47:28,5:07,64,2:19:57,5:17,67,3:37:09,5:39,68,4:20:42,5:47,,
68,69,11463,James Daggett,4:21:21.8,5:49,M,47,Minneapolis,MN,46,57:51,4:49,45,1:42:04,4:51,58,2:19:16,5:15,73,3:41:09,5:45,69,4:21:22,5:49,,
69,70,12303,Brad Nidersson,4:21:49.2,5:49,M,50,Stillwater,MN,80,1:01:28,5:08,73,1:48:14,5:09,82,2:24:04,5:26,71,3:39:15,5:42,70,4:21:49,5:49,,
70,71,13524,Lyndell Williams,4:21:59.6,5:49,M,38,Chattanooga,TN,84,1:01:57,5:09,81,1:50:05,5:14,75,2:22:42,5:23,69,3:38:26,5:41,71,4:22:00,5:49,,
71,72,12312,Jason Wagner,4:22:46.9,5:50,M,46,La Grange,IL,60,59:48,4:59,84,1:50:50,5:17,81,2:23:46,5:26,72,3:41:05,5:44,72,4:22:47,5:50,,
72,73,11469,Ryan Reuter,4:23:11.5,5:51,M,46,Duluth,MN,76,1:01:12,5:06,69,1:46:45,5:05,65,2:20:23,5:18,66,3:37:06,5:38,73,4:23:12,5:51,,
73,74,11335,Bjorn Hagstrom,4:23:15.0,5:51,M,39,Marine On St Croix,MN,81,1:01:29,5:08,66,1:46:29,5:04,88,2:29:55,5:39,74,3:42:03,5:46,74,4:23:15,5:51,,
74,75,14331,Brita Mowers,4:24:14.3,5:52,F,20,Duluth,MN,102,1:05:55,5:29,93,1:56:12,5:32,85,2:28:53,5:37,75,3:43:08,5:48,75,4:24:14,5:52,,
75,76,12478,Mancel Mitchell,4:25:17.3,5:54,M,49,Minneapolis,MN,64,1:00:09,5:01,67,1:46:34,5:04,74,2:22:41,5:23,77,3:43:43,5:49,76,4:25:17,5:54,,
76,77,12402,Abigail Scheller,4:26:07.7,5:55,F,27,Champlin,MN,82,1:01:42,5:08,86,1:51:23,5:18,84,2:26:31,5:32,78,3:44:03,5:49,77,4:26:08,5:55,,
77,78,11021,Jim Coors,4:27:07.6,5:56,M,71,Madison,WI,65,1:00:12,5:01,60,1:45:45,5:02,78,2:23:12,5:24,76,3:43:10,5:48,78,4:27:08,5:56,,
78,79,13551,Randy Brendal,4:27:44.0,5:57,M,52,Owatonna,MN,130,1:09:44,5:49,107,2:01:38,5:47,95,2:34:30,5:50,86,3:48:43,5:57,79,4:27:44,5:57,,
79,80,11324,Reid Gilbertson,4:28:29.9,5:58,M,65,Lake Elmo,MN,50,58:17,4:51,51,1:43:48,4:56,63,2:19:54,5:17,80,3:44:36,5:50,80,4:28:30,5:58,,
80,81,11302,Andrew McIntyre,4:30:08.7,6:00,M,25,Minneapolis,MN,47,57:54,4:50,46,1:42:16,4:52,53,2:18:28,5:14,79,3:44:08,5:49,81,4:30:09,6:00,,
81,82,12513,Adeline Byrne,4:32:24.4,6:04,F,30,Duluth,MN,69,1:00:46,5:04,61,1:45:55,5:03,73,2:22:34,5:23,82,3:45:26,5:51,82,4:32:24,6:04,,
82,83,12140,Jon Byrne,4:32:26.4,6:04,M,64,Bovey,MN,70,1:00:46,5:04,62,1:46:06,5:03,76,2:22:43,5:23,81,3:44:51,5:50,83,4:32:26,6:04,,
83,84,12510,Per Lundmark,4:32:29.8,6:04,M,29,Minneapolis,MN,54,58:58,4:55,55,1:44:39,4:59,70,2:21:20,5:20,83,3:47:23,5:54,84,4:32:30,6:04,,
84,85,12353,Julie Garretson,4:32:51.3,6:04,F,30,Minneapolis,MN,90,1:02:25,5:12,91,1:54:58,5:29,89,2:29:58,5:39,85,3:48:42,5:57,85,4:32:51,6:04,,
85,86,11407,Sam Hagedorn,4:38:35.2,6:12,M,19,Madison,WI,72,1:00:57,5:04,54,1:44:21,4:58,56,2:18:55,5:14,84,3:48:24,5:56,86,4:38:35,6:12,,
86,87,11436,Cory Branden,4:38:42.0,6:12,M,51,Minneapolis,MN,73,1:01:04,5:05,72,1:48:07,5:09,77,2:23:11,5:24,87,3:53:26,6:04,87,4:38:42,6:12,,
87,88,11404,Michael Costello,4:38:49.8,6:12,M,58,Grand Marais,MN,67,1:00:33,5:03,77,1:48:44,5:11,83,2:24:19,5:27,89,3:53:57,6:05,88,4:38:50,6:12,,
88,89,11490,Maeve Moening,4:38:54.5,6:12,F,18,Saint Paul,MN,88,1:02:14,5:11,85,1:51:10,5:18,86,2:29:05,5:37,90,3:54:04,6:05,89,4:38:55,6:12,,
89,90,12414,Maria Schilling,4:41:13.4,6:15,F,48,Minneapolis,MN,141,1:13:18,6:07,131,2:08:42,6:08,117,2:42:48,6:08,97,3:58:34,6:12,90,4:41:13,6:15,,
90,91,12301,Karl Dewahl,4:41:22.7,6:15,M,65,Saint Paul,MN,121,1:07:39,5:38,112,2:02:48,5:51,102,2:37:07,5:56,94,3:57:44,6:10,91,4:41:23,6:15,,
91,92,12139,Jason Lamppa,4:41:37.8,6:15,M,63,St Paul,MN,99,1:04:30,5:22,98,1:58:20,5:38,100,2:35:54,5:53,93,3:57:20,6:10,92,4:41:38,6:15,,
92,93,14305,Charles Dykstra,4:41:38.6,6:15,M,53,Rice Lake,WI,107,1:06:13,5:31,95,1:57:17,5:35,93,2:33:27,5:47,88,3:53:57,6:05,93,4:41:39,6:15,,
93,94,13523,Jim Trepka,4:41:46.1,6:16,M,53,Iowa City,IA,132,1:09:50,5:49,121,2:04:20,5:55,108,2:38:52,6:00,98,3:58:41,6:12,94,4:41:46,6:16,,
94,95,13489,Tobin Ryan,4:42:21.5,6:17,M,55,Janesville,WI,105,1:06:01,5:30,99,1:58:37,5:39,98,2:35:34,5:52,92,3:56:52,6:09,95,4:42:22,6:17,,
95,96,13507,Kaelan Anderson,4:42:27.3,6:17,M,25,Hayward,WI,96,1:03:50,5:19,97,1:58:07,5:37,94,2:34:10,5:49,96,3:58:18,6:12,96,4:42:27,6:17,,
96,97,13474,Erich Schroeder,4:42:28.3,6:17,M,54,Plymouth,MN,101,1:05:38,5:28,96,1:58:02,5:37,97,2:35:25,5:52,91,3:56:34,6:08,97,4:42:28,6:17,,
97,98,12531,Ryan Morris,4:42:54.3,6:17,M,40,Sartell,MN,120,1:07:35,5:38,105,2:00:46,5:45,101,2:36:57,5:55,99,3:58:49,6:12,98,4:42:54,6:17,,
98,99,12316,Lisa Nadler,4:45:09.9,6:20,F,58,Chicago,IL,94,1:03:46,5:19,102,1:59:16,5:41,106,2:38:35,5:59,95,3:58:12,6:11,99,4:45:10,6:20,,
99,100,12518,Samuel Severson,4:47:52.5,6:24,M,25,Trempealeau,WI,98,1:04:07,5:21,101,1:59:01,5:40,113,2:40:31,6:04,101,4:02:52,6:18,100,4:47:53,6:24,,
100,101,12476,Joanne Fitzpatrick,4:49:23.2,6:26,F,58,Minocqua,WI,116,1:06:48,5:34,109,2:02:04,5:49,107,2:38:37,5:59,102,4:02:59,6:18,101,4:49:23,6:26,,
101,102,16408,Daniel Schilling,4:50:24.1,6:27,M,40,Champlin,MN,142,1:13:51,6:09,126,2:07:00,6:03,118,2:43:50,6:11,110,4:07:59,6:26,102,4:50:24,6:27,,
102,103,13518,Elizabeth Becker,4:50:58.9,6:28,F,22,Little Falls,MN,95,1:03:48,5:19,106,2:00:56,5:45,104,2:38:01,5:58,111,4:08:21,6:27,103,4:50:59,6:28,,
103,104,14380,Christopher Bartelt,4:51:32.2,6:29,M,30,Harshaw,WI,137,1:11:18,5:57,123,2:04:49,5:57,129,2:45:50,6:15,104,4:06:34,6:24,104,4:51:32,6:29,,
104,105,35036,Adrian Watt,4:51:56.5,6:29,M,73,Esko,MN,152,1:17:54,6:30,138,2:12:19,6:18,132,2:47:10,6:18,108,4:07:29,6:26,105,4:51:57,6:29,,
105,106,12433,Adrienne Huschke,4:52:16.6,6:30,F,27,Eden Prairie,MN,104,1:05:59,5:30,114,2:02:52,5:51,114,2:42:15,6:07,105,4:06:46,6:25,106,4:52:17,6:30,,
106,107,13135,William O'Connell,4:52:43.1,6:30,M,52,Menomonee Falls,WI,78,1:01:14,5:06,119,2:03:46,5:54,119,2:43:50,6:11,115,4:11:42,6:32,107,4:52:43,6:30,,
107,108,13415,Travis Hibbard,4:52:57.8,6:31,M,36,Rosemount,MN,110,1:06:27,5:32,111,2:02:44,5:50,110,2:39:47,6:02,113,4:08:47,6:28,108,4:52:58,6:31,,
108,109,13413,Janell Hibbard,4:52:58.0,6:31,F,35,Rosemount,MN,112,1:06:32,5:32,113,2:02:48,5:51,111,2:39:49,6:02,112,4:08:46,6:28,109,4:52:58,6:31,,
109,110,13532,Thomas Lidahl,4:53:11.3,6:31,M,19,Red Wing,MN,91,1:02:49,5:14,87,1:53:20,5:24,92,2:31:41,5:44,109,4:07:48,6:26,110,4:53:11,6:31,,
110,111,12511,Jason Lee,4:53:35.0,6:31,M,44,Neenah,WI,77,1:01:14,5:06,82,1:50:44,5:16,87,2:29:52,5:39,100,4:00:04,6:14,111,4:53:35,6:31,,
111,112,12359,Mark Huschke,4:54:40.9,6:33,M,58,Eden Prairie,MN,103,1:05:58,5:30,115,2:02:55,5:51,115,2:42:18,6:07,106,4:06:46,6:25,112,4:54:41,6:33,,
112,113,12473,Daniel Huschke,4:54:44.6,6:33,M,23,Eden Prairie,MN,108,1:06:14,5:31,117,2:02:55,5:51,116,2:42:20,6:08,107,4:06:52,6:25,113,4:54:45,6:33,,
113,114,12483,Chris Henkel,4:54:45.1,6:33,M,38,Duluth,MN,114,1:06:43,5:34,100,1:58:41,5:39,112,2:40:26,6:04,103,4:05:09,6:22,114,4:54:45,6:33,,
114,115,13572,Collin Arnett,4:56:47.0,6:36,M,37,Minneapolis,MN,97,1:03:59,5:20,94,1:56:55,5:34,99,2:35:52,5:53,114,4:11:32,6:32,115,4:56:47,6:36,,
115,116,13585,Maxwell Smitten,4:57:41.4,6:37,M,18,Marine On St Croix,MN,123,1:08:36,5:43,136,2:11:00,6:14,131,2:46:32,6:17,123,4:15:15,6:38,116,4:57:41,6:37,,
116,117,14401,Gabriel Bergin,4:59:54.0,6:40,M,26,St Paul,MN,117,1:07:07,5:36,104,1:59:56,5:42,96,2:34:32,5:50,120,4:14:40,6:37,117,4:59:54,6:40,,
117,118,13451,Roman Shuster,5:01:17.1,6:41,M,40,Chicago,IL,125,1:08:45,5:44,127,2:07:44,6:05,128,2:45:20,6:14,118,4:12:40,6:34,118,5:01:17,6:41,,
118,119,13516,Scott Duffus,5:01:56.4,6:43,M,63,Owatonna,MN,131,1:09:48,5:49,125,2:06:59,6:03,122,2:44:04,6:12,116,4:12:09,6:33,119,5:01:56,6:43,,
119,120,13492,Krystian Weglarz,5:02:21.3,6:43,M,42,Westfield,WI,119,1:07:26,5:37,108,2:01:47,5:48,109,2:39:45,6:02,117,4:12:25,6:33,120,5:02:21,6:43,,
120,121,12016,Ken Borchert,5:03:41.5,6:45,M,74,Duluth,MN,100,1:05:32,5:27,110,2:02:14,5:49,130,2:46:14,6:17,128,4:17:22,6:41,121,5:03:42,6:45,,
121,122,12342,Dirk Bjornstad,5:04:19.2,6:46,M,48,Neenah,WI,113,1:06:34,5:33,124,2:05:25,5:59,127,2:44:53,6:13,127,4:17:00,6:41,122,5:04:19,6:46,,
122,123,11516,Eddie Gurney,5:05:04.3,6:47,M,29,Wausau,WI,124,1:08:41,5:44,142,2:15:19,6:26,136,2:49:22,6:23,130,4:17:37,6:41,123,5:05:04,6:47,,
123,124,13561,Eric North,5:05:07.1,6:47,M,48,Cable,WI,127,1:08:56,5:45,143,2:15:24,6:27,137,2:49:27,6:23,131,4:17:44,6:41,124,5:05:07,6:47,,
124,125,14500,Andrew Czechanski,5:05:37.3,6:48,M,38,Neenah,WI,145,1:15:31,6:18,139,2:12:31,6:18,139,2:49:57,6:25,132,4:19:09,6:44,125,5:05:37,6:48,,
125,126,16470,John Saufley,5:06:59.5,6:49,M,59,Hummelstown,PA,149,1:16:52,6:25,140,2:12:48,6:20,141,2:51:21,6:28,134,4:21:16,6:47,126,5:07:00,6:49,,
126,127,13494,Adrianne Johnson,5:07:02.6,6:49,F,42,St. Paul,MN,106,1:06:04,5:31,116,2:02:55,5:51,120,2:43:52,6:11,126,4:16:36,6:40,127,5:07:03,6:49,,
127,128,13498,Anne Beckman,5:07:03.3,6:49,F,36,Brooklyn Park,MN,122,1:08:20,5:42,118,2:03:26,5:53,121,2:43:55,6:11,124,4:16:22,6:40,128,5:07:03,6:49,,
128,129,12404,Andrew Revak,5:08:42.5,6:51,M,29,Cumberland,WI,92,1:02:58,5:15,92,1:55:54,5:31,103,2:37:17,5:56,125,4:16:26,6:40,129,5:08:43,6:51,,
129,130,14509,Jared Phillips,5:09:07.6,6:52,M,29,Cookeville,TN,144,1:15:06,6:15,134,2:09:45,6:11,126,2:44:41,6:13,122,4:15:11,6:38,130,5:09:08,6:52,,
130,131,12306,Darren Winchester,5:09:17.7,6:53,M,54,Hayward,WI,115,1:06:47,5:34,129,2:08:27,6:07,124,2:44:26,6:12,133,4:19:46,6:45,131,5:09:18,6:53,,
131,132,14327,Alexander Loney,5:09:33.5,6:53,M,39,Glen Ellyn,IL,138,1:11:34,5:58,122,2:04:42,5:56,125,2:44:26,6:12,129,4:17:32,6:41,132,5:09:34,6:53,,
132,133,13481,Erik Knutson,5:12:07.3,6:56,M,38,Chewelah,WA,135,1:10:45,5:54,128,2:08:14,6:07,142,2:52:20,6:30,135,4:23:07,6:50,133,5:12:07,6:56,,
