,Race Placement,Bib Number,Participant Name,Chip Time,Pace,Gender,Age,City,State / Province,Fire Tower Rank,Fire Tower Time,Fire Tower Pace,Hwy OO Rank,Hwy OO Time,Hwy OO Pace,Boedecker Rank,Boedecker Time,Boedecker Pace,Timber Tr Rank,Timber Tr Time,Timber Tr Pace,TT to Fin Rank,TT to Fin Time,TT to Fin Pace,Age Group Place,Age Group Description
30,31,327,Nathan Bich,3:24:06.5,4:32,M,22,Duluh,MN,23,46:49,3:54,24,1:21:08,3:52,26,1:45:53,4:00,30,2:46:16,4:19,31,3:24:07,4:32,26,M 0-99
31,32,333,Brad Moening,3:25:31.9,4:34,M,52,Saint Paul,MN,27,47:05,3:56,30,1:23:31,3:59,31,1:46:30,4:01,32,2:46:49,4:20,32,3:25:32,4:34,27,M 0-99
32,33,400,Andrew Renier,3:25:34.4,4:34,M,25,Plymouth,MN,32,47:53,3:59,31,1:23:32,3:59,32,1:46:32,4:01,31,2:46:49,4:20,33,3:25:34,4:34,28,M 0-99
33,34,607,Vivian Hett,3:27:53.1,4:37,F,24,Burnsville,MN,43,50:49,4:14,40,1:27:35,4:10,40,1:52:20,4:14,36,2:53:37,4:30,34,3:27:53,4:37,6,F 0-99
34,35,390,Jan-Petter Lovald,3:28:37.4,4:38,M,60,Hopkins,MN,37,49:43,4:09,34,1:25:41,4:05,35,1:49:42,4:09,34,2:52:02,4:28,35,3:28:37,4:38,29,M 0-99
35,36,613,Rose Doda,3:30:09.1,4:40,F,24,Cambridge,MA,45,51:37,4:18,41,1:28:06,4:12,41,1:53:01,4:16,37,2:54:21,4:32,36,3:30:09,4:40,7,F 0-99
36,37,336,David Anderson,3:30:29.2,4:41,M,37,Plymouth,MN,35,49:21,4:07,39,1:27:22,4:10,38,1:51:44,4:13,35,2:53:36,4:30,37,3:30:29,4:41,30,M 0-99
37,38,394,John Horns,3:31:24.6,4:42,M,58,Edina,MN,36,49:35,4:08,37,1:27:00,4:09,39,1:51:46,4:13,39,2:54:49,4:32,38,3:31:25,4:42,31,M 0-99
38,39,338,Zachary Via,3:32:39.2,4:43,M,36,Duluth,MN,38,49:44,4:09,38,1:27:15,4:09,37,1:51:43,4:13,38,2:54:45,4:32,39,3:32:39,4:43,32,M 0-99
39,40,616,Guro Lindgren,3:35:24.9,4:47,F,29,Bozeman,MT,47,52:55,4:25,46,1:31:33,4:22,45,1:57:16,4:25,42,2:59:40,4:40,40,3:35:25,4:47,8,F 0-99
40,41,349,Carl Osterberg,3:37:36.8,4:50,M,24,Victor,ID,30,47:52,3:59,33,1:24:09,4:00,33,1:47:39,4:04,41,2:59:40,4:40,41,3:37:37,4:50,33,M 0-99
41,42,317,Matthew Hempe,3:39:24.2,4:53,M,21,Maple Grove,MN,34,48:58,4:05,36,1:26:11,4:06,34,1:49:28,4:08,40,2:57:10,4:36,42,3:39:24,4:53,34,M 0-99
42,43,366,William Omodt,3:44:49.5,5:00,M,20,Plymouth,MN,44,51:05,4:15,44,1:29:43,4:16,44,1:56:18,4:23,44,3:05:02,4:48,43,3:44:50,5:00,35,M 0-99
43,44,376,Mark Ahlers,3:44:50.0,5:00,M,55,Roseville,MN,40,50:37,4:13,45,1:30:47,4:19,47,1:58:40,4:28,45,3:05:43,4:50,44,3:44:50,5:00,36,M 0-99
44,45,603,Delaney Fitzpatrick,3:46:10.2,5:01,F,25,Minocqua,WI,42,50:41,4:14,42,1:28:16,4:12,42,1:54:09,4:18,43,3:01:19,4:43,45,3:46:10,5:01,9,F 0-99
45,46,368,Bruce Bauer,3:46:42.4,5:02,M,49,Duluth,MN,46,52:09,4:21,47,1:32:21,4:24,46,1:58:39,4:28,46,3:05:46,4:50,46,3:46:42,5:02,37,M 0-99
46,47,391,Philip Bowen,3:48:43.0,5:05,M,46,Northfield,MN,48,53:11,4:26,48,1:34:20,4:30,48,2:02:08,4:37,48,3:11:10,4:58,47,3:48:43,5:05,38,M 0-99
47,48,642,Elspeth Ronnander,3:51:02.5,5:08,F,36,Saint Paul,MN,51,55:55,4:40,51,1:38:41,4:42,50,2:06:27,4:46,50,3:13:57,5:02,48,3:51:03,5:08,10,F 0-99
48,49,635,Daisy Richmond,3:51:48.5,5:09,F,23,Minneapolis,MN,50,54:52,4:35,49,1:35:57,4:34,49,2:03:52,4:40,49,3:13:33,5:01,49,3:51:49,5:09,11,F 0-99
49,50,397,Ryan Wilson,3:51:58.9,5:09,M,38,Minneapolis,MN,41,50:38,4:13,43,1:29:39,4:16,43,1:56:08,4:23,47,3:09:47,4:56,50,3:51:59,5:09,39,M 0-99
50,51,609,Kris Hansen,4:00:33.1,5:21,F,51,Afton,MN,49,54:51,4:34,50,1:37:43,4:39,51,2:06:30,4:46,51,3:22:11,5:15,51,4:00:33,5:21,12,F 0-99
51,52,633,Lisa Garretson,4:03:45.2,5:25,F,31,Minneapolis,MN,52,55:57,4:40,52,1:39:04,4:43,52,2:09:43,4:54,52,3:22:32,5:16,52,4:03:45,5:25,13,F 0-99
52,53,618,Nora Gilbertson,4:39:31.3,6:13,F,26,Lake Elmo,MN,53,1:02:53,5:14,53,1:54:52,5:28,53,2:31:39,5:44,53,3:55:34,6:07,53,4:39:31,6:13,14,F 0-99
